table_type_e,table_type_c,table_code,district_e,district_c,nominee_count,name_e,name_c,alias_e,alias_c,gender_e,gender_c,occupation_e,occupation_c,affiliation_e,affiliation_c,date_of_nomination
Functional Constituencies,功能界別,FC_ALLO,"Architectural, Surveying, Planning and Landscape",建築、測量、都市規劃及園境界,1,KWAN Siu-lun,關兆倫,,,M,男,Architect,建築師,,,20/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Sports, Performing Arts, Culture and Publication",體育、演藝、文化及出版界,1,CHOW Siu-lung Herbert,周小龍,,,M,男,Businessman,商人,Independent Candidate,獨立候選人,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,1,LEUNG Kai-cheong Kenneth,梁繼昌,,,M,男,Tax Consultant,稅務顧問,Professionals Guild,專業議政,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Agriculture and Fisheries,漁農界,1,HO Chun-yin Steven,何俊賢,,,M,男,Legislative Council Member,立法會議員,Democratic Alliance for the Betterment and Progress of Hong Kong,民主建港協進聯盟,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,1,CHEUNG Yu-yan Tommy,張宇人,,,M,男,Businessman,商人,Liberal Party,自由黨,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Commercial (first),商界（第一）,1,LAM Kin-fung Jeffrey,林健鋒,,,M,男,Managing Director,董事長,BPA,經民聯,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Commercial (second),商界（第二）,1,LIAO Cheung-kong Martin,廖長江,,,M,男,Barrister-at-law,大律師,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,1,CHAN Chun-chit Richard,陳振哲,,,M,男,District Council Member,區議員,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,Education,教育界,1,TANG Fei,鄧飛,,,M,男,Principal,中學校長,Hong Kong Federation of Education Workers,香港教育工作者聯會,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Engineering,工程界,1,CHING Ming-tat,程明達,Louis Ching,程Sir,M,男,Engineer,工程師,,,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Finance,金融界,1,CHAN Chun-ying,陳振英,,,M,男,*Bank Advisor,*銀行顧問,,,21/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,1,TSUI Luen-on,徐聯安,,,M,男,Chairman,集團主席,,,18/7/2020
